Index,Season,Week,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue,Longitude,Latitude,Capacity,H_Followers,A_Followers,Rank_H,Rank_A,Families,Period,Weekend,TemperatureC,DewPoint,RH,LaggedAttendance,RankDiff,GameImp
40,2010,7,Monday,2010-09-27,20:10:00,Al-Hazem,Al-Raed,0,0,921,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,149200,14,5,No,Night,No,33,8,21.32,30,9,1
41,2010,7,Monday,2010-09-27,20:10:00,Al-Ettifaq,Al-Fateh,2,2,2265,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,161100,4,8,No,Night,No,31,24,66.38,880,4,1
42,2010,7,Tuesday,2010-09-28,20:10:00,Al-Nassr,Al-Wehda,0,1,4441,King Fahad International Stadium,46.839236,24.788206,67000,3100000,226600,3,13,No,Night,No,29.9,3,17.98,10439,10,1
43,2010,7,Tuesday,2010-09-28,20:10:00,Al-Qadisiyah,Al-Faisaly,2,2,247,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,103900,6,10,No,Night,No,31,15,37.94,9361,4,1
44,2010,7,Tuesday,2010-09-28,20:10:00,Al-Ahli,Al-Taawoun,1,1,3399,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,208700,11,8,No,Night,No,31,27,79.33,16350,3,1
45,2010,8,Friday,2010-10-01,20:05:00,Al-Hilal,Al-Ettifaq,1,0,6964,King Fahad International Stadium,46.839236,24.788206,67000,9600000,226500,1,3,No,Night,Yes,32.2,3,15.77,7589,2,1
46,2010,8,Saturday,2010-10-02,20:05:00,Al-Raed,Al-Nassr,1,1,6117,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,3100000,5,4,No,Night,Yes,31,10,27.33,2828,1,1
47,2010,8,Saturday,2010-10-02,20:05:00,Al-Wehda,Al-Fateh,3,0,8060,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,161100,9,9,No,Night,Yes,35,18,36.67,110,0,1
48,2010,8,Sunday,2010-10-03,20:05:00,Al-Taawoun,Al-Ittihad,0,1,7244,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,4000000,8,1,No,Night,No,32,12,29.48,3417,7,1
49,2010,8,Sunday,2010-10-03,20:05:00,Al-Faisaly,Najran,4,2,557,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,31200,11,10,No,Night,No,32,12,29.48,83,1,1
50,2010,8,Sunday,2010-10-03,20:05:00,Al-Ahli,Al-Qadisiyah,2,1,2255,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,91700,12,6,No,Night,No,30.6,27,81.16,3399,6,1
51,2010,9,Friday,2010-10-15,19:55:00,Najran,Al-Qadisiyah,2,1,469,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,91700,12,7,No,Night,Yes,25,0,19.32,960,5,1
52,2010,9,Friday,2010-10-15,19:55:00,Al-Ittihad,Al-Wehda,1,1,9659,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,226600,1,8,No,Night,Yes,30,25,74.63,6016,7,1
53,2010,9,Saturday,2010-10-16,19:55:00,Al-Raed,Al-Ettifaq,0,3,7278,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,226500,6,5,No,Night,Yes,31,10,27.33,6117,1,1
54,2010,9,Saturday,2010-10-16,19:55:00,Al-Hazem,Al-Taawoun,0,3,608,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,208700,14,10,No,Night,Yes,31,10,27.33,921,4,1
55,2010,9,Saturday,2010-10-16,19:55:00,Al-Fateh,Al-Faisaly,0,1,364,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,103900,11,9,No,Night,Yes,28,22,69.92,298,2,1
56,2010,10,Wednesday,2010-10-20,19:50:00,Al-Fateh,Al-Ittihad,0,0,3155,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,4000000,12,1,No,Night,No,27,2,19.82,364,11,1
57,2010,9,Thursday,2010-10-21,16:05:00,Al-Nassr,Al-Ahli,2,1,7422,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,2000000,4,13,No,Daytime,Yes,26.8,1,18.67,4441,9,1
58,2010,10,Thursday,2010-10-21,19:50:00,Al-Wehda,Najran,2,0,1198,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,31200,9,11,No,Night,Yes,32,17,40.72,8060,2,1
59,2010,10,Thursday,2010-10-21,19:50:00,Al-Qadisiyah,Al-Raed,1,1,261,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,149200,7,6,No,Night,Yes,26,20,69.55,247,1,1
60,2010,10,Friday,2010-10-22,19:50:00,Al-Faisaly,Al-Taawoun,2,1,1009,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,208700,7,8,No,Night,Yes,30,5,20.57,557,1,1
