Weak,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue
26,Friday,2011-05-20,20:55:00,Al-Ittihad FC,Al-Nassr,5,2,5471,Prince Abdullah Al-Faisal Stadium
26,Friday,2011-05-20,20:55:00,Al-Hilal,Najran,2,1,8620,Prince Faisal bin Fahad Stadium
26,Friday,2011-05-20,20:55:00,Al-Fateh,Al-Hazem,3,0,50,Prince Abdullah Bin Jalawi Sport City Stadium
26,Friday,2011-05-20,20:55:00,Al-Faisaly,Al-Shabab,0,1,920,King Salman Bin Abdul Aziz Sport City Stadium
26,Friday,2011-05-20,20:55:00,Al-Ettifaq,Al Qadisiya,1,0,1464,Prince Mohamed bin Fahd Stadium
26,Friday,2011-05-20,20:55:00,Al Wehda,Al-Taawon,0,0,632,King Abdul Aziz Sport City Stadium
1,Friday,2011-09-09,20:30:00,Al-Ittihad FC,Al-Taawon,5,3,6860,Prince Abdullah Al-Faisal Stadium
1,Friday,2011-09-09,20:30:00,Al-Fateh,Najran,2,2,181,Prince Abdullah Bin Jalawi Sport City Stadium
1,Friday,2011-09-09,20:30:00,Al Qadisiya,Al-Ettifaq,0,1,943,Prince Saud Bin Jalawi Sport City Stadium
1,Saturday,2011-09-10,20:30:00,Hajer,Al-Hilal,1,2,4225,Prince Abdullah Bin Jalawi Sport City Stadium
1,Saturday,2011-09-10,20:30:00,Al-Nassr,Al-Raed,1,0,5550,King Fahad International Stadium
1,Saturday,2011-09-10,20:30:00,Al-Faisaly,Al-Shabab,1,3,505,King Salman Bin Abdul Aziz Sport City Stadium
1,Saturday,2011-09-10,20:30:00,Al Ansar,Al Ahli SC,0,1,8210,Prince Mohammed bin Abdul Aziz Stadium
2,Thursday,2011-09-15,20:25:00,Najran,Al-Ettifaq,0,3,483,AlAkhdoud Club Stadium
2,Thursday,2011-09-15,20:25:00,Al-Taawon,Hajer,2,1,2385,King Abdullah Sport City Stadium
2,Thursday,2011-09-15,20:25:00,Al-Hilal,Al-Shabab,0,2,12276,King Fahad International Stadium
2,Friday,2011-09-16,20:25:00,Al-Raed,Al-Faisaly,1,4,8619,King Abdullah Sport City Stadium
2,Friday,2011-09-16,20:25:00,Al Ansar,Al Qadisiya,0,3,244,Alansar Club Stadium
2,Friday,2011-09-16,20:25:00,Al Ahli SC,Al-Nassr,2,0,15492,Prince Abdullah Al-Faisal Stadium
3,Tuesday,2011-09-20,18:20:00,Al-Ettifaq,Al-Ittihad FC,1,0,9549,Prince Mohamed bin Fahd Stadium
3,Thursday,2011-09-22,20:20:00,Al-Shabab,Al Qadisiya,1,0,725,King Fahad International Stadium
3,Thursday,2011-09-22,20:20:00,Al-Fateh,Al-Raed,0,0,164,Prince Abdullah Bin Jalawi Sport City Stadium
3,Thursday,2011-09-22,20:20:00,Al-Faisaly,Al-Nassr,1,1,2725,King Salman Bin Abdul Aziz Sport City Stadium
3,Friday,2011-09-23,20:20:00,Hajer,Al Ansar,1,0,443,Prince Abdullah Bin Jalawi Sport City Stadium
3,Friday,2011-09-23,20:20:00,Al-Taawon,Al-Hilal,0,1,19658,King Abdullah Sport City Stadium
3,Friday,2011-09-23,20:20:00,Al Ahli SC,Najran,4,0,13499,Prince Abdullah Al-Faisal Stadium
4,Thursday,2011-09-29,20:10:00,Al-Raed,Al-Shabab,1,2,5567,King Abdullah Sport City Stadium
4,Thursday,2011-09-29,20:10:00,Al-Hilal,Al Ahli SC,4,0,22996,King Fahad International Stadium
4,Thursday,2011-09-29,20:10:00,Al-Ettifaq,Hajer,0,0,1391,Prince Mohamed bin Fahd Stadium
4,Friday,2011-09-30,20:10:00,Najran,Al-Faisaly,1,1,271,AlAkhdoud Club Stadium
4,Friday,2011-09-30,20:10:00,Al-Nassr,Al-Fateh,1,2,1846,King Fahad International Stadium
4,Friday,2011-09-30,20:10:00,Al Qadisiya,Al-Taawon,1,1,181,Prince Saud Bin Jalawi Sport City Stadium
4,Sunday,2011-10-02,20:10:00,Al-Ittihad FC,Al Ansar,3,2,3941,Prince Abdullah Al-Faisal Stadium
5,Friday,2011-10-14,19:55:00,Al-Shabab,Al-Ittihad FC,2,2,4503,Prince Faisal bin Fahad Stadium
5,Friday,2011-10-14,19:55:00,Al-Raed,Najran,0,1,1879,King Abdullah Sport City Stadium
5,Friday,2011-10-14,19:55:00,Al-Fateh,Al Qadisiya,1,6,599,Prince Abdullah Bin Jalawi Sport City Stadium
5,Friday,2011-10-14,19:55:00,Al Ansar,Al-Ettifaq,0,2,241,Prince Mohammed bin Abdul Aziz Stadium
5,Saturday,2011-10-15,19:55:00,Hajer,Al-Nassr,0,3,3682,Prince Abdullah Bin Jalawi Sport City Stadium
5,Saturday,2011-10-15,19:55:00,Al-Faisaly,Al-Hilal,0,2,3223,King Salman Bin Abdul Aziz Sport City Stadium
5,Saturday,2011-10-15,19:55:00,Al Ahli SC,Al-Taawon,4,2,4110,Prince Abdullah Al-Faisal Stadium
6,Thursday,2011-10-20,19:50:00,Najran,Al-Shabab,1,4,723,AlAkhdoud Club Stadium
6,Thursday,2011-10-20,19:50:00,Hajer,Al-Faisaly,1,1,247,Prince Abdullah Bin Jalawi Sport City Stadium
6,Thursday,2011-10-20,19:50:00,Al Qadisiya,Al-Hilal,4,5,6711,Prince Saud Bin Jalawi Sport City Stadium
6,Friday,2011-10-21,19:50:00,Al-Taawon,Al Ansar,2,0,2058,King Abdullah Sport City Stadium
6,Friday,2011-10-21,19:50:00,Al-Nassr,Al-Ettifaq,1,3,5218,Prince Faisal bin Fahad Stadium
6,Friday,2011-10-21,19:50:00,Al-Fateh,Al Ahli SC,2,2,1330,Prince Abdullah Bin Jalawi Sport City Stadium
7,Friday,2011-10-28,19:50:00,Al-Shabab,Al-Taawon,1,0,1475,Prince Faisal bin Fahad Stadium
7,Friday,2011-10-28,19:50:00,Al-Raed,Hajer,1,2,1831,King Abdullah Sport City Stadium
7,Friday,2011-10-28,19:50:00,Al-Ettifaq,Al-Fateh,1,0,2059,Prince Mohamed bin Fahd Stadium
8,Tuesday,2011-11-01,19:45:00,Hajer,Al-Fateh,2,4,1858,Prince Abdullah Bin Jalawi Sport City Stadium
8,Tuesday,2011-11-01,19:45:00,Al-Hilal,Al-Raed,2,0,7708,Prince Faisal bin Fahad Stadium
