Home_team,Away_team,Attendance,Venue
Al-Fateh,Al-Hilal,9281,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Qadsiah,Al-Shabab,266,Prince Saud Bin Jalawi Sport City Stadium
Al-Hazem,Al-Faisaly,93,Alhazm Club Stadium
Najran,Al-Taawoun,683,AlAkhdoud Club Stadium
Al-Ettifaq,Al-Wehda,1587,Prince Mohamed bin Fahd Stadium
Al-Shabab,Al-Fateh,103,Prince Faisal bin Fahad Stadium
Al-Nassr,Al-Qadsiah,2679,King Fahad International Stadium
Al-Ahli,Al-Hilal,15715,Prince Abdullah Al-Faisal Stadium
Al-Ittihad,Al-Raed,4398,Prince Abdullah Al-Faisal Stadium
Al-Raed,Al-Hazem,4949,King Abdullah Sport City Stadium
Al-Fateh,Al-Ettifaq,914,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Taawoun,Al-Ahli,3956,King Abdullah Sport City Stadium
Al-Faisaly,Al-Qadsiah,532,King Salman Bin Abdul Aziz Sport City Stadium
Al-Shabab,Najran,46,Prince Faisal bin Fahad Stadium
Al-Hilal,Al-Ittihad,19212,King Fahad International Stadium
Al-Wehda,Al-Nassr,2921,King Abdul Aziz Sport City Stadium
Al-Nassr,Al-Raed,3136,Prince Faisal bin Fahad Stadium
Al-Ittihad,Al-Taawoun,4037,Prince Abdullah Al-Faisal Stadium
Al-Hazem,Al-Shabab,82,Alhazm Club Stadium
Al-Ettifaq,Al-Hilal,21174,Prince Mohamed bin Fahd Stadium
Najran,Al-Faisaly,709,AlAkhdoud Club Stadium
Al-Fateh,Al-Wehda,895,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Qadsiah,Al-Ahli,1432,Prince Mohamed bin Fahd Stadium
Al-Ettifaq,Al-Raed,628,Prince Mohamed bin Fahd Stadium
Al-Qadsiah,Najran,209,Prince Saud Bin Jalawi Sport City Stadium
Al-Taawoun,Al-Hazem,8144,King Abdullah Sport City Stadium
Al-Faisaly,Al-Fateh,809,King Salman Bin Abdul Aziz Sport City Stadium
Al-Hilal,Al-Shabab,13203,King Fahad International Stadium
Al-Wehda,Al-Ittihad,3036,King Abdul Aziz Sport City Stadium
Al-Ahli,Al-Nassr,16167,Prince Abdullah Al-Faisal Stadium
Al-Taawoun,Al-Faisaly,5201,King Abdullah Sport City Stadium
Al-Hazem,Al-Ettifaq,6,Alhazm Club Stadium
Najran,Al-Wehda,1655,AlAkhdoud Club Stadium
Al-Raed,Al-Qadsiah,9100,King Abdullah Sport City Stadium
Al-Nassr,Al-Hilal,10654,King Fahad International Stadium
Al-Ittihad,Al-Fateh,648,Prince Abdullah Al-Faisal Stadium
Al-Shabab,Al-Ahli,595,Prince Faisal bin Fahad Stadium
Al-Ittihad,Al-Qadsiah,889,Prince Abdullah Al-Faisal Stadium
Al-Hilal,Al-Raed,5528,Prince Faisal bin Fahad Stadium
Al-Ettifaq,Al-Nassr,8315,Prince Mohamed bin Fahd Stadium
Al-Wehda,Al-Shabab,563,King Abdul Aziz Sport City Stadium
Al-Hazem,Najran,24,Alhazm Club Stadium
Al-Fateh,Al-Taawoun,133,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Ahli,Al-Faisaly,1158,Prince Abdullah Al-Faisal Stadium
Al-Wehda,Al-Qadsiah,302,King Abdul Aziz Sport City Stadium
Najran,Al-Fateh,1160,AlAkhdoud Club Stadium
Al-Taawoun,Al-Ettifaq,8802,King Abdullah Sport City Stadium
Al-Shabab,Al-Ittihad,1118,King Fahad International Stadium
Al-Nassr,Al-Hazem,1603,Prince Faisal bin Fahad Stadium
Al-Faisaly,Al-Raed,833,King Salman Bin Abdul Aziz Sport City Stadium
Al-Qadsiah,Al-Hilal,4496,Prince Saud Bin Jalawi Sport City Stadium
Al-Ahli,Al-Wehda,2143,Prince Abdullah Al-Faisal Stadium
Al-Raed,Al-Ahli,6763,King Abdullah Sport City Stadium
Al-Ittihad,Al-Nassr,5471,Prince Abdullah Al-Faisal Stadium
Al-Hilal,Najran,8620,Prince Faisal bin Fahad Stadium
Al-Fateh,Al-Hazem,50,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Faisaly,Al-Shabab,920,King Salman Bin Abdul Aziz Sport City Stadium
Al-Ettifaq,Al-Qadsiah,1464,Prince Mohamed bin Fahd Stadium
Al-Wehda,Al-Taawoun,632,King Abdul Aziz Sport City Stadium
